Variogram Model,Kriging Model,R square Mean,MAE mean,RMSE Mean,MSE Mean,Distance between stations
Gaussian,Simple,-125.338313921717,14.4476162715514,2.61929487648794,14.4242508710576,153.97926174269
Spherical,Krige,0.697661388960763,1.12999196021749,0.184993407757922,0.0421464083479857,153.97926174269
Spherical,Simple,0.693794842220848,1.09258787268918,0.186053317631513,0.0425865872174739,153.97926174269
Exponential,Krige,0.702576766083294,1.08938542419236,0.184274945364671,0.0417579247704909,160.674012253242
Exponential,Simple,0.702872045880693,1.08287367826721,0.184204341989698,0.0417288518112572,160.674012253242
Gaussian,Krige,-152.168640993931,14.0443708999599,2.65046548598828,16.4453066073967,160.674012253242
Gaussian,Simple,-152.096773395576,14.0253141475546,2.64709681315163,16.4405243346128,160.674012253242
Spherical,Krige,0.691849793875029,1.14714497771259,0.187267690847643,0.0428711211576234,160.674012253242
Spherical,Simple,0.686746250414074,1.10471783484291,0.188639363278046,0.0434411539857124,160.674012253242
Exponential,Krige,0.682016203260138,1.13956172534603,0.19061622425725,0.0442824145118241,167.368762763794
Exponential,Simple,0.683102193353743,1.12776870072528,0.190356225679435,0.044175694826407,167.368762763794
Gaussian,Krige,-124.52380912922,13.5264665308683,2.40931452082257,13.2611890920183,167.368762763794
Gaussian,Simple,-125.042946252963,13.5414018019986,2.41242335332839,13.3123657642647,167.368762763794
Spherical,Krige,0.670706571680838,1.21357364445477,0.193731583292852,0.0455095592451607,167.368762763794
Spherical,Simple,0.656358179901465,1.16181436030388,0.197295709739464,0.0470398623190973,167.368762763794
Exponential,Krige,0.67682903814898,1.16213733840266,0.192494551585688,0.0448367061222498,174.063513274345
Exponential,Simple,0.676401415737685,1.14938028470345,0.192656706889801,0.0449106421952116,174.063513274345
Gaussian,Krige,-283.485973933523,17.7377801469352,3.23284054674257,28.9990240758508,174.063513274345
Gaussian,Simple,-288.28490497223,17.8118534629916,3.25471035274709,29.5055971028189,174.063513274345
Spherical,Krige,0.661207894788202,1.25051942970884,0.196850670578289,0.0465671103006207,174.063513274345
Spherical,Simple,0.622937441695266,1.20743937499583,0.206194353871675,0.0507839014852105,174.063513274345
Exponential,Krige,0.623030124857745,1.30004409137601,0.206898519407456,0.0510739686169166,180.758263784897
Exponential,Simple,0.62162592373883,1.25235905894048,0.207302854302209,0.0512873762752095,180.758263784897
Gaussian,Krige,-1622.52584788691,40.5715465601529,7.19491757650246,164.465461508782,180.758263784897
Gaussian,Simple,-1650.97908796424,40.8011425739162,7.25190261972481,167.37577898199,180.758263784897
Spherical,Krige,0.592772002645972,1.44274874979049,0.214255440462037,0.0543846985157746,180.758263784897
Spherical,Simple,0.465818282214595,1.40120328276224,0.238656806894832,0.0678419025671054,180.758263784897
Exponential,Krige,0.633961111757354,1.2466266560852,0.205100644945737,0.0501844037567625,187.453014295449
Exponential,Simple,0.633848738777896,1.22180297622663,0.205198609668097,0.0502486133224977,187.453014295449
Gaussian,Krige,-74.2588431512165,12.7031246623514,2.07663536584529,8.08803190244509,187.453014295449
Gaussian,Simple,-74.9338658351028,12.7540875468989,2.08491900588973,8.1616277415216,187.453014295449
Spherical,Krige,0.617783533784265,1.34946709903452,0.209576180396596,0.0521337384946992,187.453014295449
Spherical,Simple,0.568532871641329,1.28830442838986,0.221349876323273,0.0581684290936509,187.453014295449
Exponential,Krige,0.608391349582796,1.34227745838219,0.210875136268904,0.0527413435621353,194.147764806001
Exponential,Simple,0.604495282667208,1.28178053554628,0.211883136431881,0.0532580131869733,194.147764806001
Gaussian,Krige,-1880.74847288731,40.5906162543766,7.85558079420013,189.973641998623,194.147764806001
